,osmid,highway,geometry,lon,lat
582,1246102699,,POINT (73.3438592 54.8796776),73.3438592,54.8796776
583,775505060,,POINT (73.39258100000001 54.9940735),73.392581,54.9940735
584,2155594921,,POINT (73.2739091 54.9308706),73.2739091,54.9308706
585,775505066,,POINT (73.3918894 54.9909439),73.3918894,54.9909439
586,1056703663,,POINT (73.3651328 55.0259247),73.3651328,55.0259247
587,1098007722,,POINT (73.172917 54.9544515),73.172917,54.9544515
588,2316666033,,POINT (73.2392463 54.9988573),73.2392463,54.9988573
589,1246102705,,POINT (73.3523173 54.9069595),73.3523173,54.9069595
590,1098007725,,POINT (73.18175479999999 54.9467403),73.1817548,54.9467403
591,1259865268,,POINT (73.37770140000001 55.016591),73.3777014,55.016591
592,3139536053,,POINT (73.33829830000001 54.9371371),73.3382983,54.9371371
593,717374639,,POINT (73.3817884 54.9838715),73.3817884,54.9838715
594,786662586,,POINT (73.3275141 54.9420983),73.3275141,54.9420983
595,1259865275,,POINT (73.35813690000001 55.0179548),73.3581369,55.0179548
596,786662588,,POINT (73.32892510000001 54.9460743),73.3289251,54.9460743
597,1259865277,,POINT (73.3524018 55.014076),73.3524018,55.014076
598,617022653,,POINT (73.42413569999999 55.0173525),73.4241357,55.0173525
599,768378047,,POINT (73.3975136 55.0014841),73.3975136,55.0014841
600,617022651,,POINT (73.4244805 55.018846),73.4244805,55.018846
601,1246102714,,POINT (73.35315 54.9057147),73.35315,54.9057147
602,1246102721,,POINT (73.34809780000001 54.8825269),73.3480978,54.8825269
603,1669907642,,POINT (73.2272363 54.9974436),73.2272363,54.9974436
604,786662596,,POINT (73.3329543 54.9439599),73.3329543,54.9439599
605,2155594941,,POINT (73.2746353 54.9331842),73.2746353,54.9331842
606,617022662,,POINT (73.4289411 55.0169688),73.4289411,55.0169688
607,2155594943,,POINT (73.2748556 54.933282),73.2748556,54.933282
608,1259865288,,POINT (73.37879460000001 55.0149935),73.3787946,55.0149935
609,2241201355,,POINT (73.4898259 54.9275251),73.4898259,54.9275251
610,768378060,,POINT (73.394758 55.00175),73.394758,55.00175
611,2317305037,,POINT (73.2536692 55.0770559),73.2536692,55.0770559
612,757613774,,POINT (73.5418516 54.8841375),73.5418516,54.8841375
613,1259865295,,POINT (73.3579862 55.018629),73.3579862,55.018629
614,1259865296,,POINT (73.3490486 55.0123471),73.3490486,55.0123471
615,602997968,,POINT (73.4318687 54.9515515),73.4318687,54.9515515
616,1246102738,,POINT (73.3520788 54.9036785),73.3520788,54.9036785
617,956662993,,POINT (73.5916438 54.9473261),73.5916438,54.9473261
618,617022676,,POINT (73.4297545 55.0188098),73.4297545,55.0188098
619,786662613,,POINT (73.3160275 54.9430505),73.3160275,54.9430505
620,1072563410,,POINT (73.46641440000001 54.8514879),73.4664144,54.8514879
621,2317305039,,POINT (73.25735160000001 55.0779563),73.2573516,55.0779563
622,1259865304,,POINT (73.37850160000001 55.013185),73.3785016,55.013185
623,2317305041,,POINT (73.25946740000001 55.0785005),73.2594674,55.0785005
624,786662618,,POINT (73.3230495 54.9443736),73.3230495,54.9443736
625,2241201370,,POINT (73.4931943 54.9278209),73.4931943,54.9278209
626,757613786,,POINT (73.4974927 54.9052724),73.4974927,54.9052724
627,1246102751,,POINT (73.351257 54.9047571),73.351257,54.9047571
628,3139536096,,POINT (73.33878799999999 54.9386425),73.338788,54.9386425
629,775505119,,POINT (73.3911827 54.9935602),73.3911827,54.9935602
630,1259865316,,POINT (73.36034530000001 55.0187302),73.3603453,55.0187302
631,1259865317,,POINT (73.35780130000001 55.0042196),73.3578013,55.0042196
632,1053656294,,POINT (73.2934727 55.085501),73.2934727,55.085501
633,1264534758,,POINT (73.43370640000001 54.9344001),73.4337064,54.9344001
634,775505127,,POINT (73.3891759 54.9906298),73.3891759,54.9906298
635,1246102763,,POINT (73.3471923 54.8810712),73.3471923,54.8810712
636,5197710572,,POINT (73.444238 54.9319381),73.444238,54.9319381
637,1259865325,,POINT (73.3498914 55.0127855),73.3498914,55.0127855
638,1246102767,,POINT (73.35098360000001 54.9023515),73.3509836,54.9023515
