,nodes,building,geometry,addr:housenumber,addr:street,building:levels,id,start_date,addr:postcode,building:material,source,addr:city,name,addr:place,roof:shape,roof:material,building:colour,height,roof:height,wheelchair,level,roof:colour,building:facade:material,loc_name,addr:suburb,building:year_built,postal_code,addr:flats,building:parts,construction,members,type,amenity,ref,opening_hours,capacity:bed,emergency,health_specialty:emergency_medicine,provided_for:adult,healthcare,healthcare:speciality,lon,lat
6309,"[3636130375, 3636130374, 3636130369, 3636130371, 4428503875, 4428504106, 4428504127, 3636130375]",apartments,POINT (73.22329725075834 55.00165094206194),19,3-я Любинская улица,10,358731257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.22329725075834,55.00165094206194
6310,"[3641851226, 3641851227, 3641851228, 4367420973, 4367420972, 4367420971, 4367420970, 3641851229, 3641851226]",apartments,POINT (73.42323035582358 55.04310590653169),25 к4,21-я Амурская улица,10,359470876,,644013,,,Омск,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.42323035582358,55.043105906531686
6311,"[3641851230, 3641851231, 3641851232, 3641851233, 4367420977, 4367420976, 3641851234, 4367420975, 4367420974, 3641851235, 3641851230]",apartments,POINT (73.42217891369057 55.04297916819346),25 к3,21-я Амурская улица,10,359470877,,644013,,,Омск,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.42217891369057,55.04297916819346
6312,"[3641851237, 5302831518, 5302831516, 5302831515, 5302831517, 6036498600, 5302831514, 5302831513, 3641851238, 5302831512, 5302831510, 5302831509, 5302831511, 3641851239, 3641851240, 3641851241, 6036498598, 6036498597, 3641851242, 3641851243, 3641851244, 6036498599, 5302831520, 5302831519, 3641851237]",apartments,POINT (73.42211091473933 55.04215185155771),25,21-я Амурская улица,12,359470878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.42211091473933,55.04215185155771
6313,"[3641851245, 5302831944, 5302831945, 6036498585, 5302831948, 5302831947, 5302831946, 5302831949, 3641851246, 5302831950, 5302831951, 6036498588, 3641851247, 3641851248, 3641851249, 6036498587, 6036498586, 3641851250, 3641851251, 3641851252, 5302831955, 5302831953, 5302831952, 5302831954, 3641851245]",apartments,POINT (73.42334058283997 55.04215237607915),25 к1,21-я Амурская улица,12,359470879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.42334058283997,55.04215237607915
6314,"[3646386707, 4736427352, 3646386710, 3646386693, 3646386590, 3646386707]",apartments,POINT (73.29606662272425 54.98046445364547),21,бульвар Архитекторов,16,360037194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.29606662272425,54.98046445364547
6315,"[3646386711, 4736427346, 3646386712, 3646386699, 3646386696, 3646386711]",apartments,POINT (73.29481342209249 54.98051010776334),23,бульвар Архитекторов,16,360037197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.29481342209249,54.980510107763344
6316,"[3646384228, 4739733781, 3646384238, 3646384239, 3646384242, 3646384235, 3646384231, 3646384233, 3646384221, 3646384228]",apartments,POINT (73.29746212182062 54.977381331354),29/1,улица Ватутина,16,360037203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.29746212182062,54.977381331353996
6317,"[3683395754, 3683395752, 4393039074, 4393039073, 3683395739, 4393039072, 4393039071, 4393039070, 4393039067, 4393039066, 3683395736, 3683395732, 3683395734, 4393039068, 4393039069, 3683395754]",apartments,POINT (73.44177948097497 55.03235956487522),18/5,улица Завертяева,10,364293172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.44177948097497,55.03235956487522
6318,"[3683395778, 5733807608, 5733807609, 5733807610, 3683395777, 3683395775, 3683395776, 4191431717, 4191431714, 4191431713, 3683395762, 3683395763, 3683395778]",apartments,POINT (73.44200425848264 55.03340344357673),16,улица Завертяева,,364293173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.44200425848264,55.03340344357673
6319,"[3721204444, 3721204445, 5045180944, 5045180943, 5045180942, 5045180945, 3721204449, 3721204450, 3721204452, 5045180947, 5045180946, 3721204451, 4237840899, 3721204448, 3721204447, 4237840900, 4618409985, 3905293737, 3721204444]",apartments,POINT (73.29723230790025 55.03157730317862),18,2-я Поселковая улица,10,368273418,2015,,concrete,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,73.29723230790025,55.031577303178615
6320,"[3762167139, 3762167127, 3762167133, 6207172168, 3762167141, 3762167139]",apartments,POINT (73.33512229605843 55.00827181113147),137/2,улица Красный Путь,17,372666887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.33512229605843,55.00827181113147
6321,"[3762167017, 3762167016, 3762167015, 3762167013, 3762167014, 3762167017]",apartments,POINT (73.32442453648393 54.98982825562596),34,улица Крупской,16,372666888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.32442453648393,54.98982825562596
6322,"[3806485568, 3806485564, 3806485560, 3806485562, 4385989652, 4385989651, 3806485452, 3806485450, 3806485447, 3806485453, 3806485568]",apartments,POINT (73.29600740575327 54.98162444425378),17/2,бульвар Архитекторов,10,377274666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.29600740575327,54.981624444253775
6323,"[3806547500, 3806547499, 3806547497, 3806547498, 4008797517, 4008797518, 4008797519, 3806547500]",apartments,POINT (73.45181069522695 55.0409376972911),9 к17,улица Завертяева,10,377282055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.45181069522695,55.0409376972911
6324,"[3806547513, 4008797526, 4008797522, 3806547505, 3806547506, 3806547514, 3806547513]",apartments,POINT (73.44968696371048 55.04254566483343),25 к5,улица Стороженко,10,377282057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.44968696371048,55.04254566483343
6325,"[3806547482, 4008797511, 4008797512, 4008797513, 3806547483, 3806547475, 3806547474, 3806547482]",apartments,POINT (73.4497245 55.0394113),9 к15,улица Завертяева,10,377282063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.4497245,55.039411300000005
